四字熟語,読み,意味,漢検配当級
朽木糞土,きゅうぼくふんど,やる気がなく、だらしない人を教育することはできないということのたとえ。 または、役に立たないもののたとえ。 腐ってぼろぼろになった木と土壁ということで、腐った木材に彫刻することはできず、腐った土壁に上塗りをすることはできないという意味。 「朽木は雕るべからず、糞土の牆は杇るべからず」から。,1級
愛及屋烏,あいきゅうおくう,溺愛、盲愛のたとえ。 「屋烏」は屋根にとまっている烏のこと。 その人を愛するあまり、その人に関わるもの全て、その人の家の屋根に止まっている烏さえも愛おしくなるということから。,1級
哀鴻遍野,あいこうへんや,戦いに敗れた兵士や、さまよう難民がいたる所にいる様子。 哀しげに鳴く雁が、野原にあふれる様子を流浪する兵士や、難民にたとえたもの。,1級
曖昧模糊,あいまいもこ,本質や実態がぼんやりとしていてはっきりとわからないこと。 「曖昧」と「模糊」はどちらもはっきりしない、不明瞭という意味。,1級
浅瀬仇波,あさせあだなみ,思慮が浅い人は、気にする必要がないどんな小さな出来事でも大騒ぎすることのたとえ。 深い淵より浅瀬のほうが激しく波が起こることから。,1級
阿世曲学,あせいきょくがく,世に認められた正しい学問の道理を曲げて、権力や世間、時勢に気に入られるようにへつらうこと。 「阿世」は世に気に入られるようにふるまうこと。 「曲学」は正しいと認められた道理を曲げた学問のこと。,1級
可惜身命,あたらしんみょう,体や命をいとおしむこと。 「可惜」は、今のままでは惜しい、または大切なものや良いものが相応しい扱いをされていないことを惜しむこと。 「身命」は身体や生命のこと。,1級
阿鼻叫喚,あびきょうかん,非常に無残でむごい様子のこと。 「阿鼻」は仏教の八大地獄の一つで最下層にあるとされる阿鼻地獄、または無間地獄のことで、そこに落ちたものが様々な苦痛を受けて泣き喚くということから。,1級
阿附迎合,あふげいごう,相手に気に入られようと、相手の言うことを何でも聞き、媚びて機嫌をとること。 「阿附」は人に気に入られようとして、機嫌を取ったり、言うことを聞いたりすること。 「迎合」は相手の言うことを何でも聞くこと。,1級
按甲休兵,あんこうきゅうへい,武装を解いて、戦いや争いをやめること。 「按甲」は甲冑を外すこと。 「休兵」は兵を休ませること。 「甲を按じて兵を休む」とも読む。,1級
安車蒲輪,あんしゃほりん,老人をいたわり、丁重にもてなすこと。 「安車」は老人や妊婦が座れるように仕立てられた小車のこと。 「蒲輪」は蒲の穂で車輪を包み、振動を抑えて乗り心地をよくしたもの。,1級
按図索駿,あんずさくしゅん,実際には役に立たない意見や考えのたとえ。 また、決まったやり方にこだわり融通のきかないことのたとえ。 名馬を絵や書物の知識のみから見つけようとする意から。,1級
暗箭傷人,あんせんしょうじん,こっそりと人を陥れたり、中傷したりすること。 「暗箭」は暗がりから放たれた矢のこと。 「傷人」は人を傷つけること。 「暗箭人を傷る」とも読む。,1級
暗中摸索,あんちゅうもさく,手がかりのない中で、色々と試してみること。 「暗中」は暗い場所、「摸索」は手探りで何かを探すことで、暗い場所で手の感触のみを頼りに探し物をするという意味から。 「暗中模索」とも書く。,1級
按兵不動,あんぺいふどう,状況や様子を窺いながら、良い機会が訪れるのを待つこと。 「按」は抑える、引き留めること。 「兵を按じて動かず」とも読む。,1級
以夷征夷,いいせいい,自ら手を下さずに他人を利用して利益を図ること。 「夷」は中国東方の異民族、外敵のことで外敵を利用して外敵を制する外交戦略のこと。 「夷を以って夷を征す」とも読む。 「以夷制夷」とも書く。,1級
意気軒昂,いきけんこう,気力があふれていて、奮い立つ様子。 「意気」は気力や気概、「軒」と「昂」はどちらも高く上がるという意味。,1級
衣錦之栄,いきんのえい,成功、出世した後に錦の着物を着て故郷に帰ること。 「錦」は金や銀などの糸で織り込んだ美しい絹織物のこと。,1級
郁郁青青,いくいくせいせい,植物が立派に育っていて、良い香りを放っている様子。 もとは「よろい草」や「フジバカマ」を評した言葉。 「郁郁」は良い香り。 「青青」は植物が生い茂っている様子のこと。,1級
夷険一節,いけんいっせつ,どんな時でも信念を守り続けること。 「夷険」は平らな場所と険しい場所のことから順境と逆境のことで、順境でも逆境でも信念を変えないということ。,1級
衣繍夜行,いしゅうやこう,たとえ出世しても、故郷に帰らなければ誰もその栄誉に気が付くことはないということのたとえ。 「衣繍」は美しい刺繍の服のこと。 暗い夜道を美しい刺繍の服を着て歩いても、誰も気がつかないという意味から。 中国楚の項羽が「富貴になっても故郷に帰らないのは、美しい服を着て暗い夜道を歩くようなものだ」と言った故事から。,1級
一飲一啄,いちいんいったく,自然とともに、自由に生きることのたとえ。 または、人が分を弁えて、多くを求めないことのたとえ。 「一」はわずか、すこしの意。 「啄」は鳥がくちばしでついばむこと。,1級
一日之長,いちじつのちょう,年齢が一日分年上なこと。 または、少しだけ経験が多いという意味から、知識や技量などが少しだけすぐれていること。,1級
一入再入,いちじゅうさいじゅう,布を何度も染め重ねること。 深く、濃い色合いということから、恩が深いことのたとえ。 「入」は布を染料につけること。,1級
一望千頃,いちぼうせんけい,一目で遠くまで見渡すことができること。または、広々としていて遠くまで見渡せる美しい景色のたとえ。 「一望」は景色などで、一度に全体を見ることができること。 「頃」は面積の単位。 一目で千頃を見渡せるということから。,1級
