プライマリーキー,JIS漢字水準,JLPT,人名用漢字,国字,学年,常用漢字,漢検配当級,画数,部首別
亜,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,7,二 に
哀,JIS第１水準,N１,,,中学校一～三年生,然り,３級,9,口 くち・くちへん
愛,JIS第１水準,N３,,,小学校四年生,然り,７級,13,心 忄 こころ・したごころ・りっしんべん
挨,JIS第１水準,,,,中学校一～三年生,然り,２級,10,手 扌 て・てへん
悪,JIS第１水準,N４,,,小学校三年生,然り,８級,11,心 忄 こころ・したごころ・りっしんべん
握,JIS第１水準,N１,,,中学校一～三年生,然り,４級,12,手 扌 て・てへん
圧,JIS第１水準,N２,,,小学校五年生,然り,６級,5,土 つち・つちへん・どへん
扱,JIS第１水準,N１,,,中学校一～三年生,然り,４級,6,手 扌 て・てへん
宛,JIS第１水準,,,,中学校一～三年生,然り,２級,8,宀 うかんむり
安,JIS第１水準,N４,,,小学校三年生,然り,８級,6,宀 うかんむり
暗,JIS第１水準,N３,,,小学校三年生,然り,８級,13,日 ひ・ひへん・にち・にちへん
案,JIS第１水準,N１,,,小学校四年生,然り,７級,10,木 き・きへん
闇,JIS第１水準,,,,中学校一～三年生,然り,２級,17,門 门 もん・もんがまえ・かどがまえ
以,JIS第１水準,N４,,,小学校四年生,然り,７級,5,人 亻 ひと・にんべん・ひとがしら・ひとやね
位,JIS第１水準,N３,,,小学校四年生,然り,７級,7,人 亻 ひと・にんべん・ひとがしら・ひとやね
依,JIS第１水準,N２,,,中学校一～三年生,然り,４級,8,人 亻 ひと・にんべん・ひとがしら・ひとやね
偉,JIS第１水準,N３,,,中学校一～三年生,然り,４級,12,人 亻 ひと・にんべん・ひとがしら・ひとやね
囲,JIS第１水準,N２,,,小学校五年生,然り,６級,7,囗 くにがまえ
委,JIS第１水準,N２,,,小学校三年生,然り,８級,8,女 おんな・おんなへん
威,JIS第１水準,N１,,,中学校一～三年生,然り,４級,9,女 おんな・おんなへん
尉,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,11,寸 すん・すんづくり
意,JIS第１水準,N４,,,小学校三年生,然り,８級,13,心 忄 こころ・したごころ・りっしんべん
慰,JIS第１水準,N１,,,中学校一～三年生,然り,３級,15,心 忄 こころ・したごころ・りっしんべん
易,JIS第１水準,N３,,,小学校五年生,然り,６級,8,日 ひ・ひへん・にち・にちへん
椅,JIS第１水準,,,,中学校一～三年生,然り,２級,12,木 き・きへん
為,JIS第１水準,N１,,,中学校一～三年生,然り,４級,9,火 灬 ひ・ひへん・れっか・れんが
畏,JIS第１水準,,,,中学校一～三年生,然り,２級,9,田 た・たへん
異,JIS第１水準,N１,,,小学校六年生,然り,５級,11,田 た・たへん
移,JIS第１水準,N２,,,小学校五年生,然り,６級,11,禾 のぎ・のぎへん
維,JIS第１水準,N１,,,中学校一～三年生,然り,４級,14,糸 糹 纟 いと・いとへん
緯,JIS第１水準,N１,,,中学校一～三年生,然り,４級,16,糸 糹 纟 いと・いとへん
胃,JIS第１水準,N２,,,小学校六年生,然り,５級,9,肉 月 ⺼ にく・にくづき
萎,JIS第１水準,,,,中学校一～三年生,然り,２級,11,艸 艹 くさ・くさかんむり・そうこう
衣,JIS第１水準,N２,,,小学校四年生,然り,７級,6,衣 衤 ころも・ころもへん
違,JIS第１水準,N３,,,中学校一～三年生,然り,４級,13,辵 辶 しんにょう・しんにゅう
遺,JIS第１水準,N１,,,小学校六年生,然り,５級,15,辵 辶 しんにょう・しんにゅう
医,JIS第１水準,N４,,,小学校三年生,然り,８級,7,匸 かくしがまえ
井,JIS第１水準,N１,,,小学校四年生,然り,７級,4,二 に
域,JIS第１水準,N２,,,小学校六年生,然り,５級,11,土 つち・つちへん・どへん
育,JIS第１水準,N３,,,小学校三年生,然り,８級,8,肉 月 ⺼ にく・にくづき
一,JIS第１水準,N５,,,小学校一年生,然り,１０級,1,一 いち
壱,JIS第１水準,N１,,,中学校一～三年生,然り,４級,7,士 さむらい
逸,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,11,辵 辶 しんにょう・しんにゅう
稲,JIS第１水準,N１,,,中学校一～三年生,然り,４級,14,禾 のぎ・のぎへん
茨,JIS第１水準,,,,小学校四年生,然り,７級,9,艸 艹 くさ・くさかんむり・そうこう
芋,JIS第１水準,N１,,,中学校一～三年生,然り,４級,6,艸 艹 くさ・くさかんむり・そうこう
印,JIS第１水準,N２,,,小学校四年生,然り,７級,6,卩 㔾 ふしづくり・わりふ
咽,JIS第１水準,,,,中学校一～三年生,然り,２級,9,口 くち・くちへん
員,JIS第１水準,N４,,,小学校三年生,然り,８級,10,口 くち・くちへん
因,JIS第１水準,N３,,,小学校五年生,然り,６級,6,囗 くにがまえ
姻,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,9,女 おんな・おんなへん
引,JIS第１水準,N３,,,小学校二年生,然り,９級,4,弓 ゆみ・ゆみへん
飲,JIS第１水準,N４,,,小学校三年生,然り,８級,12,食 飠 饣 しょく・しょくへん
淫,JIS第１水準,,,,中学校一～三年生,然り,２級,11,水 氵 氺 みず・さんずい・したみず
院,JIS第１水準,N４,,,小学校三年生,然り,８級,10,阜 阝 こざと・こざとへん・おか
陰,JIS第１水準,N１,,,中学校一～三年生,然り,４級,11,阜 阝 こざと・こざとへん・おか
隠,JIS第１水準,N１,,,中学校一～三年生,然り,４級,14,阜 阝 こざと・こざとへん・おか
韻,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,19,音 おと・おとへん
右,JIS第１水準,N５,,,小学校一年生,然り,１０級,5,口 くち・くちへん
宇,JIS第１水準,N２,,,小学校六年生,然り,５級,6,宀 うかんむり
羽,JIS第１水準,N２,,,小学校二年生,然り,９級,6,羽 はね
雨,JIS第１水準,N５,,,小学校一年生,然り,１０級,8,雨 あめ・あめかんむり・あまかんむり
臼,JIS第１水準,,,,中学校一～三年生,然り,２級,6,臼 うす
渦,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,12,水 氵 氺 みず・さんずい・したみず
唄,JIS第１水準,N１,,,中学校一～三年生,然り,２級,10,口 くち・くちへん
浦,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,10,水 氵 氺 みず・さんずい・したみず
運,JIS第１水準,N４,,,小学校三年生,然り,８級,12,辵 辶 しんにょう・しんにゅう
雲,JIS第１水準,N２,,,小学校二年生,然り,９級,12,雨 あめ・あめかんむり・あまかんむり
餌,JIS第１水準,,,,中学校一～三年生,然り,２級,15,食 飠 饣 しょく・しょくへん
営,JIS第１水準,N２,,,小学校五年生,然り,６級,12,⺍ つ・つかんむり
影,JIS第１水準,N１,,,中学校一～三年生,然り,４級,15,彡 さんづくり
映,JIS第１水準,N４,,,小学校六年生,然り,５級,9,日 ひ・ひへん・にち・にちへん
栄,JIS第１水準,N２,,,小学校四年生,然り,７級,9,木 き・きへん
永,JIS第１水準,N２,,,小学校五年生,然り,６級,5,水 氵 氺 みず・さんずい・したみず
泳,JIS第１水準,N３,,,小学校三年生,然り,８級,8,水 氵 氺 みず・さんずい・したみず
英,JIS第１水準,N４,,,小学校四年生,然り,７級,8,艸 艹 くさ・くさかんむり・そうこう
衛,JIS第１水準,N１,,,小学校五年生,然り,６級,16,行 ぎょう・ぎょうがまえ・ゆきがまえ
詠,JIS第１水準,N１,,,中学校一～三年生,然り,３級,12,言 訁 讠 げん・ごんべん・ことば
鋭,JIS第１水準,N２,,,中学校一～三年生,然り,４級,15,金 釒 钅 かね・かねへん
液,JIS第１水準,N２,,,小学校五年生,然り,６級,11,水 氵 氺 みず・さんずい・したみず
疫,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,9,疒 やまいだれ
益,JIS第１水準,N１,,,小学校五年生,然り,６級,10,皿 さら
駅,JIS第１水準,N４,,,小学校三年生,然り,８級,14,馬 马 うま・うまへん
悦,JIS第１水準,N１,,,中学校一～三年生,然り,３級,10,心 忄 こころ・したごころ・りっしんべん
謁,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,15,言 訁 讠 げん・ごんべん・ことば
越,JIS第１水準,N３,,,中学校一～三年生,然り,４級,12,走 はしる・そうにょう
閲,JIS第１水準,N１,,,中学校一～三年生,然り,３級,15,門 门 もん・もんがまえ・かどがまえ
円,JIS第１水準,N５,,,小学校一年生,然り,１０級,4,冂 けいがまえ・まきがまえ・えんがまえ・どうがまえ
園,JIS第１水準,N３,,,小学校二年生,然り,９級,13,囗 くにがまえ
宴,JIS第１水準,N１,,,中学校一～三年生,然り,３級,10,宀 うかんむり
延,JIS第１水準,N２,,,小学校六年生,然り,５級,8,廴 えんにょう・いんにょう
怨,JIS第１水準,,,,中学校一～三年生,然り,２級,9,心 忄 こころ・したごころ・りっしんべん
援,JIS第１水準,N１,,,中学校一～三年生,然り,４級,12,手 扌 て・てへん
